ID	logFC	PValue
hsa-miR-183*	4.9	7.80E-13
hsa-miR-301b	3.14	2.03E-12
hsa-miR-182*	2.62	5.88E-11
hsa-miR-182	5.94	4.41E-11
hsa-miR-4286	2.71	8.68E-11
hsa-miR-720	2.35	2.33E-10
hsa-miR-1280	1.74	1.58E-08
hsa-miR-1260	1.88	2.64E-08
hsa-miR-200c*	2.94	3.33E-08
hsa-miR-1274b_v16.0	1.74	4.99E-08
hsa-miR-486-5p	-2.83	7.11E-08
hsa-miR-545	2.08	7.06E-08
hsa-miR-1274a_v16.0	2.1	1.37E-07
hsa-miR-1260b	1.27	4.81E-07
hsa-miR-425	1.88	7.80E-07
hsv1-miR-H6-3p	2.54	2.04E-06
hsa-miR-127-3p	-1.55	2.54E-06
hsa-miR-130b	1.08	2.86E-06
hsa-miR-370	-3.59	3.23E-06
hsa-miR-301a	4.6	3.05E-06
hsa-miR-33b	2.3	3.21E-06
hsa-miR-492	2.62	3.49E-06
hsa-miR-93*	1.71	4.04E-06
hsa-let-7a*	2.95	4.61E-06
hsa-miR-210	2.32	5.47E-06
hsa-miR-32*	2.35	4.95E-06
hsv1-miR-H1*	2.5	5.06E-06
ebv-miR-BART12	4.03	1.58E-05
hsa-miR-125b-2*	-1.14	1.85E-05
hsa-miR-339-5p	1.9	2.40E-05
hsa-miR-145	-1.05	2.09E-05
hsv2-miR-H9-5p	-3.63	3.72E-05
hsa-miR-106b	1.31	2.91E-05
hsa-miR-629*	2.95	3.70E-05
hsa-miR-592	1.81	3.55E-05
hsa-miR-3923	1.98	4.10E-05
hsa-miR-378	-1.04	5.89E-05
hsa-miR-21*	1.8	6.69E-05
hsa-miR-629	2.76	7.41E-05
hsa-miR-99a	-1.19	4.69E-05
hsa-miR-7	4.44	8.22E-05
hsa-miR-181a*	3.05	9.16E-05
hsa-miR-125b	-1.14	4.86E-05
hsa-miR-21-5p	1.46	4.64E-05
hsa-miR-3907	2.33	1.21E-04
hsa-miR-381	-1.85	1.54E-04
hsa-miR-654-5p	-2.48	1.73E-04
hsa-miR-382	-2	1.75E-04
hsa-miR-1307	2.62	1.82E-04
hsa-miR-7-1*	3.86	2.27E-04
hsa-miR-550a*	2.81	2.18E-04
hsv1-miR-H15	2.14	2.44E-04
ebv-miR-BART7	-3.63	2.46E-04
hsa-miR-1261	1.25	1.51E-04
hsa-miR-340	3.37	2.88E-04
hsa-miR-766	1.35	2.91E-04
hsa-miR-18b	3.35	3.16E-04
hsa-miR-422a	-2.82	3.22E-04
hsa-miR-885-5p	1.77	2.29E-04
hsa-miR-140-3p	-7.09E-01	2.80E-04
hsa-miR-630	-2.58	3.56E-04
hsa-miR-92b	1.52	2.93E-04
hsa-miR-141	2.78	3.18E-04
hsa-miR-185	8.27E-01	4.26E-04
hsa-miR-2278	1.18	2.85E-04
hsa-miR-548c-5p	1.23	3.19E-04
hsa-miR-183-5p	3.96	5.29E-04
hsa-miR-141*	3.34	5.87E-04
hsa-miR-432	-2.35	5.72E-04
hsa-miR-451	-2.13	2.34E-04
hsa-miR-203	3.49	6.45E-04
hsa-miR-4261	2.81	6.51E-04
hsa-miR-4304	-3.25	7.07E-04
hsa-miR-29c	1.7	3.99E-04
hsa-miR-3713	-3.39	7.16E-04
hsa-miR-3163	-2.55	7.26E-04
hsa-miR-16-2*	2.39	7.44E-04
hsa-miR-93	9.70E-01	5.28E-04
hsa-miR-662	-2.92	8.51E-04
hsa-miR-200a*	2.69	8.53E-04
hsa-miR-2115	1.4	4.79E-04
hsa-miR-135a*	-1.91	7.65E-04
hbv-miR-B20	-3.32	9.33E-04
hsa-miR-214	-9.25E-01	5.78E-04
hsa-miR-483-5p	-1.44	7.31E-04
hsa-miR-373*	2.47	1.21E-03
hsa-miR-18a	3.52	1.24E-03
hsa-miR-4254	1.67	7.23E-04
hsa-miR-3131	-3.59	1.17E-03
hsa-miR-33a	3.06	1.28E-03
hsa-miR-19a	2.23	1.12E-03
hsa-miR-3162-5p	-1	8.23E-04
hsa-miR-194	2.8	1.48E-03
hsa-miR-3692*	-3.79	1.54E-03
hsa-miR-1275	-1.28	1.04E-03
hsa-miR-718	-2	1.49E-03
hsa-miR-96-5p	4.14	1.53E-03
hsa-miR-491-3p	8.72E-01	8.20E-04
hsa-miR-575	-1.27	1.27E-03
hsa-miR-320c	-8.13E-01	1.18E-03
hsa-miR-671-5p	-1.79	1.68E-03
hsa-miR-139-5p	-1.87	1.89E-03
hsa-miR-181d	1.1	2.11E-03
hsa-miR-1181	-1.01	1.90E-03
hsa-miR-516b	-2.27	2.44E-03
hsa-miR-517b	-2.82	2.50E-03
hsa-miR-491-5p	6.93E-01	1.04E-03
hsa-miR-338-3p	2.46	2.67E-03
hsa-miR-34a*	2.84	2.84E-03
hsa-miR-3148	1.24	1.38E-03
hsa-miR-664	1.2	2.72E-03
hsa-miR-490-5p	-2.45	3.07E-03
hsa-miR-429	3.48	2.74E-03
hsa-miR-513b	-2.16	3.00E-03
hsa-miR-449b	9.37E-01	1.44E-03
hsa-miR-449a	3.42	2.91E-03
hsa-miR-485-5p	-2.32	3.49E-03
hsa-miR-200b	2.97	2.33E-03
hsa-miR-517a	-2.75	3.54E-03
hsa-miR-190	-8.10E-01	2.80E-03
hsa-miR-517c	-7.65E-01	2.84E-03
ebv-miR-BART3*	9.73E-01	1.73E-03
hsa-miR-205*	2.78	4.25E-03
hsa-miR-3137	-2.01	3.74E-03
hsa-miR-29a*	1.26	3.22E-03
hsa-miR-378*	-2.25	4.20E-03
hsa-miR-103a	7.42E-01	2.26E-03
hsa-miR-497	-1.1	2.30E-03
hsa-miR-331-3p	1.15	3.00E-03
hsa-miR-188-5p	-1.26	3.33E-03
hsa-miR-151-3p	6.84E-01	3.68E-03
hsa-miR-3198	-1.28	3.25E-03
hsa-miR-762	-1.07	3.08E-03
hsa-miR-769-5p	7.76E-01	4.88E-03
hsa-let-7b*	1.13	2.62E-03
hsa-miR-200c	2.01	3.36E-03
hsa-miR-3138	-1.75	4.89E-03
hsa-miR-1229	-1.88	5.96E-03
hsa-miR-149	2.48	6.11E-03
hsa-miR-1273c	-3.04	6.45E-03
hsa-miR-191	8.30E-01	2.61E-03
hsa-miR-362-3p	2.67	6.69E-03
hsa-miR-520h	-3.91E-01	3.48E-03
hsa-miR-508-5p	-2.6	6.95E-03
hsa-miR-1471	-2.89	6.46E-03
hsv1-miR-H17	-1.17	5.22E-03
hsa-miR-3136-5p	1.05	3.09E-03
hsa-miR-142-5p	2.57	6.72E-03
hsa-miR-30d*	2.1	7.57E-03
hsa-miR-138	-1.25	6.19E-03
hsa-miR-520c-3p	-5.64E-01	4.59E-03
hsa-miR-1244	5.09E-01	2.30E-03
hsa-miR-2276	-2.12	6.48E-03
hsa-miR-3648	-1.75	6.95E-03
hsa-miR-1202	-1.23	3.21E-03
hsa-miR-519b-3p	-5.08E-01	5.95E-03
hsa-miR-874	-5.10E-01	7.90E-03
hsa-miR-642b	-1.18	6.98E-03
hsa-miR-101	1.35	7.45E-03
hsa-miR-409-3p	-1.72	9.53E-03
ebv-miR-BART19-3p	-2.47	9.88E-03
hsa-miR-219-5p	1.99	1.02E-02
hsa-miR-4252	9.07E-01	4.75E-03
hsa-miR-3190	-2.39	1.30E-02
hsa-miR-132	-8.55E-01	9.35E-03
hsa-miR-29b	1.5	7.02E-03
hsa-miR-3679-5p	-1.05	7.48E-03
hsa-miR-516a-5p	-2.32	1.31E-02
hsa-miR-466	1.15	5.46E-03
hsa-miR-590-5p	2.21	1.18E-02
hsa-miR-377*	-1.83	1.32E-02
hsa-miR-574-3p	8.00E-01	9.85E-03
hsa-miR-190b	7.76E-01	4.71E-03
hsa-miR-154	-1.64	1.18E-02
hsa-miR-433	-2.23	1.39E-02
hsv2-miR-H6*	1.16	5.96E-03
hsa-miR-3607-3p	2.27	1.49E-02
hiv1-miR-TAR-3p	6.99E-01	4.86E-03
hcmv-miR-UL36	-1.19	1.26E-02
hsa-miR-107	7.82E-01	7.42E-03
hsa-miR-520b	-2.5	1.56E-02
hsa-miR-4311	-8.50E-01	1.09E-02
hsa-miR-339-3p	1.31	1.69E-02
hsa-miR-3149	2.17	1.29E-02
hsa-miR-200b*	1.81	1.60E-02
hsa-miR-877*	1.57	1.85E-02
hsa-miR-374c	1.75	1.87E-02
hsa-miR-34b*	2.14	1.57E-02
hsa-miR-582-5p	2.75	1.88E-02
hsa-miR-1273e	-1.77	1.67E-02
hsa-miR-148a*	1.55	1.64E-02
hsa-miR-29b-2*	6.54E-01	6.02E-03
hsa-miR-1301	1.09	1.19E-02
hsa-miR-670	9.14E-01	7.17E-03
hsa-miR-139-3p	-1.01	1.72E-02
hsa-miR-196a	1.92	1.55E-02
hsa-miR-1182	-2.38	1.95E-02
hsa-miR-200a	3.03	1.46E-02
