"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"change"
"hsa-miR-135a-5p"	-6.62607679041534	5.57696546663223	1979.24015163785	0	0	"DOWN"
"hsa-miR-18b-5p"	-6.5114913110486	3.47420427896752	26614.1612580684	0	0	"DOWN"
"hsa-miR-519e-5p"	-1.8171661940701	3.42734248375268	2519.48209728729	0	0	"DOWN"
"hsa-miR-15b-5p"	-5.82799147867989	6.06962100973751	1328.99905138188	5.64123667135084e-291	3.15345129928512e-288	"DOWN"
"hsa-miR-497-5p"	-4.49700016207927	7.64068501356489	1295.15237905165	1.27843669113742e-283	5.71716888276655e-281	"DOWN"
"hsa-miR-30d-5p"	-2.91637030172996	6.09764316550848	1252.11947038396	2.8739729995393e-274	1.07103393782831e-271	"DOWN"
"hsa-miR-767-5p"	2.86145273392327	3.20176917590493	1005.60387930407	1.08689578475032e-220	3.4718556781453e-218	"UP"
"hsa-miR-153-3p"	-2.28973298802154	10.8372598234045	938.930746556031	3.38018838705427e-206	9.44762654181668e-204	"DOWN"
"hsa-miR-340-5p"	-2.58724799951002	5.9391626959877	902.35222671646	3.02326106425536e-198	7.51112415519442e-196	"DOWN"
"hsa-miR-1295a"	-3.06618177955222	4.02067011404072	775.421056912517	1.19143375642841e-170	2.66404587937393e-168	"DOWN"
"hsa-miR-494-3p"	2.26640451719445	3.18180449045671	671.887649638341	3.88238313704475e-148	7.89182608584732e-146	"UP"
"hsa-miR-524-5p"	-1.30890279357706	3.31259148872277	646.241917579958	1.46697819565322e-142	2.73346937123383e-140	"DOWN"
"hsa-miR-4668-5p"	1.91101205056193	3.24551454733898	636.100975228283	2.35464376309302e-140	4.04998727252e-138	"UP"
"hsa-miR-520b"	-1.08641348451688	3.20415664819035	597.89186817227	4.81211295816755e-132	7.68563183890189e-130	"DOWN"
"hsa-miR-490-5p"	-3.19593900672324	8.81993838280996	575.276009860302	3.99624332163314e-127	5.9570667114478e-125	"DOWN"
"hsa-miR-425-5p"	-2.32817063311055	4.40611731504701	525.815605068364	2.29770030717793e-116	3.21103617928116e-114	"DOWN"
"hsa-miR-509-3p"	-1.03361661508282	3.47626008523896	512.602998984686	1.72139055718812e-113	2.26413487404273e-111	"DOWN"
"hsa-miR-128-1-5p"	-1.8464663175339	9.77078409418533	501.481871556918	4.52424275694025e-111	5.6201148913991e-109	"DOWN"
"hsa-miR-330-5p"	-2.14505017433959	8.33567221067563	489.886166262015	1.50862412165948e-108	1.77541238738453e-106	"DOWN"
"hsa-miR-3682-5p"	-1.17370650434604	3.33988469122358	484.317353100696	2.45643876994125e-107	2.74629854479432e-105	"DOWN"
"hsa-miR-96-5p"	3.29837939246085	5.40033266555958	447.813541904179	2.15750548964149e-99	2.29722965468494e-97	"UP"
"hsa-miR-519d-3p"	3.49190500762603	8.14702732726753	441.164123665345	6.04072125224083e-98	6.13956941818658e-96	"UP"
"hsa-miR-4661-5p"	-1.85290427775737	2.8514471800374	441.011061557582	6.52230081040839e-98	6.34081070090137e-96	"DOWN"
"hsa-miR-99a-5p"	-2.00117080284327	9.87034230712209	433.988993894224	2.2013701450025e-96	2.050943185094e-94	"DOWN"
"hsa-miR-3942-5p"	-0.934018659997006	3.20493313485963	419.644833265575	2.91576542998236e-93	2.60786060057622e-91	"NOT"
"hsa-miR-7109-5p"	-3.22368204533336	1.17974135298598	418.77033415712	4.51958440347269e-93	3.88684258698652e-91	"DOWN"
"hsa-miR-1276"	-2.77319625733026	6.75397935257872	413.847774810939	5.32812167269134e-92	4.41247409634735e-90	"DOWN"
"hsa-miR-1277-5p"	-1.52428157780706	5.26293754269049	398.502220941042	1.16676618717161e-88	9.31746140898473e-87	"DOWN"
"hsa-miR-100-5p"	-1.79767248139157	11.9025839537697	394.350993211518	9.34703903235188e-88	7.20688940563407e-86	"DOWN"
"hsa-miR-4470"	1.16710165489281	3.46652079097593	354.03176188143	5.61281179610645e-79	4.18341572536467e-77	"UP"
"hsa-miR-338-5p"	-1.86169749675027	5.53168491039149	349.332417641841	5.92264240953403e-78	4.27194465410261e-76	"DOWN"
"hsa-miR-142-5p"	2.57728862816595	10.2341485786959	345.37339594342	4.31188435988388e-77	3.01292919646886e-75	"UP"
"hsa-miR-940"	2.14090708116913	11.2880795192839	335.133046219904	7.32535602333137e-75	4.96348365702089e-73	"UP"
"hsa-miR-609"	-2.07665386832798	1.96705692188184	334.774982930554	8.76621171605362e-75	5.76507335208703e-73	"DOWN"
"hsa-miR-208b-3p"	-4.02531861243302	1.11175580680453	329.923030860204	9.98967466913413e-74	6.3819750171954e-72	"DOWN"
"hsa-miR-412-5p"	2.69096081565174	6.97713560090733	326.830140013885	4.71191073027812e-73	2.92662010913941e-71	"UP"
"hsa-miR-638"	4.00761622850258	2.67327515172925	303.490902651721	5.71788823243344e-68	3.45545894262734e-66	"UP"
"hsa-miR-3689b-5p"	-2.25451364686737	1.82676790826614	299.57016926172	4.08711851157513e-67	2.40494657681105e-65	"DOWN"
"hsa-let-7c-5p"	-1.67491827727646	11.5456791368411	293.349259955226	9.26396849286429e-66	5.31134193590886e-64	"DOWN"
"hsa-miR-190b"	5.44364616796806	3.59696566968703	282.660056533336	1.97666621813973e-63	1.10495641594011e-61	"UP"
"hsa-miR-204-5p"	-2.56067943605324	2.89622353709894	277.902305856899	2.15142430719023e-62	1.17331335387252e-60	"DOWN"
"hsa-miR-4433a-5p"	-0.821920386827278	3.18869178134897	272.227279373316	3.71099754087081e-61	1.97566440509218e-59	"NOT"
"hsa-miR-484"	2.05343667426944	9.32858691985991	268.331331381702	2.62175682185173e-60	1.3633135473629e-58	"UP"
"hsa-miR-3617-5p"	2.03324771040831	4.07463580496201	266.341008253451	7.11853100576708e-60	3.61750802929436e-58	"UP"
